Year,Months,Location,Personal Injury Accidents,Serious Accidents (Material Damage),Other Accidents (Intoxication),Other Accidents (Material Damage),Total Accidents
2011,January,Inside built-up areas,10595.0,3893.0,970.0,114745.0,130203.0
2011,January,Outside built-up areas (excl. motorways/freeways),4995.0,2137.0,181.0,31161.0,38474.0
2011,January,On motorways/freeways,1250.0,1094.0,45.0,8985.0,11374.0
2011,January,Total,16840.0,7124.0,1196.0,154891.0,180051.0
2011,February,Inside built-up areas,11008.0,3548.0,889.0,105064.0,120509.0
2011,February,Outside built-up areas (excl. motorways/freeways),4405.0,1728.0,164.0,26721.0,33018.0
2011,February,On motorways/freeways,1166.0,925.0,37.0,7995.0,10123.0
2011,February,Total,16579.0,6201.0,1090.0,139780.0,163650.0
2011,March,Inside built-up areas,15402.0,3871.0,1000.0,120772.0,141045.0
2011,March,Outside built-up areas (excl. motorways/freeways),5353.0,1462.0,126.0,26923.0,33864.0
2011,March,On motorways/freeways,1314.0,651.0,45.0,9046.0,11056.0
2011,March,Total,22069.0,5984.0,1171.0,156741.0,185965.0
2011,April,Inside built-up areas,18853.0,6791.0,1460.0,27104.0,3701.0
2011,April,Outside built-up areas (excl. motorways/freeways),1409.0,707.0,5817.0,1110.0,135.0
2011,April,On motorways/freeways,53.0,1298.0,120344.0,30040.0,9845.0
2011,April,Total,160229.0,144008.0,38375.0,12065.0,194448.0
2011,May,Inside built-up areas,22913.0,7236.0,1586.0,31735.0,3894.0
2011,May,Outside built-up areas (excl. motorways/freeways),1549.0,758.0,6201.0,1154.0,141.0
2011,May,On motorways/freeways,56.0,1351.0,128768.0,33007.0,10747.0
2011,May,Total,172522.0,156729.0,41933.0,13147.0,211809.0
2011,June,Inside built-up areas,19974.0,7137.0,1688.0,28799.0,3806.0
2011,June,Outside built-up areas (excl. motorways/freeways),1604.0,1024.0,6434.0,1242.0,192.0
2011,June,On motorways/freeways,59.0,1493.0,119026.0,27642.0,10405.0
2011,June,Total,157073.0,144048.0,36575.0,13176.0,193799.0
2011,July,Inside built-up areas,19058.0,7014.0,1668.0,27740.0,3900.0
2011,July,Outside built-up areas (excl. motorways/freeways),1656.0,1139.0,6695.0,1245.0,163.0
2011,July,On motorways/freeways,59.0,1467.0,120585.0,29794.0,10885.0
2011,July,Total,161264.0,144788.0,38627.0,13751.0,197166.0
2011,August,Inside built-up areas,19584.0,7274.0,1725.0,28583.0,3713.0
2011,August,Outside built-up areas (excl. motorways/freeways),1532.0,1075.0,6320.0,1252.0,161.0
2011,August,On motorways/freeways,58.0,1471.0,119769.0,27814.0,10566.0
2011,August,Total,158149.0,144318.0,36781.0,13424.0,194523.0
2011,September,Inside built-up areas,21328.0,7451.0,1715.0,30494.0,3930.0
2011,September,Outside built-up areas (excl. motorways/freeways),1637.0,970.0,6537.0,1140.0,176.0
2011,September,On motorways/freeways,56.0,1372.0,126945.0,28074.0,10546.0
2011,September,Total,165565.0,153343.0,37338.0,13287.0,203968.0
2011,October,Inside built-up areas,19249.0,7282.0,1810.0,28341.0,4619.0
2011,October,Outside built-up areas (excl. motorways/freeways),1979.0,978.0,7576.0,1261.0,185.0
2011,October,On motorways/freeways,64.0,1510.0,133558.0,34717.0,11526.0
2011,October,Total,179801.0,158687.0,44163.0,14378.0,217228.0
2011,November,Inside built-up areas,16253.0,5974.0,1362.0,23589.0,4368.0
2011,November,Outside built-up areas (excl. motorways/freeways),1942.0,739.0,7049.0,1106.0,163.0
2011,November,On motorways/freeways,45.0,1314.0,127058.0,34881.0,9535.0
2011,November,Total,171474.0,148785.0,42960.0,11681.0,203426.0
2011,December,Inside built-up areas,16210.0,6637.0,1546.0,24393.0,5192.0
2011,December,Outside built-up areas (excl. motorways/freeways),2841.0,1516.0,9549.0,1258.0,207.0
2011,December,On motorways/freeways,63.0,1528.0,133942.0,35278.0,10734.0
2011,December,Total,179954.0,156602.0,44963.0,13859.0,215424.0
2012,January,Inside built-up areas,13894.0,4447.0,1021.0,118538.0,137900.0
2012,January,Outside built-up areas (excl. motorways/freeways),5664.0,2291.0,187.0,33051.0,41193.0
2012,January,On motorways/freeways,1382.0,1357.0,52.0,9480.0,12271.0
2012,January,Total,20940.0,8095.0,1260.0,161069.0,191364.0
2012,February,Inside built-up areas,11741.0,4453.0,1020.0,114963.0,132177.0
2012,February,Outside built-up areas (excl. motorways/freeways),5050.0,2217.0,155.0,31143.0,38565.0
2012,February,On motorways/freeways,1271.0,1096.0,50.0,8492.0,10909.0
2012,February,Total,18062.0,7766.0,1225.0,154598.0,181651.0
2012,March,Inside built-up areas,16587.0,3603.0,1009.0,124861.0,146060.0
2012,March,Outside built-up areas (excl. motorways/freeways),5568.0,1529.0,135.0,29041.0,36273.0
2012,March,On motorways/freeways,1404.0,607.0,63.0,8636.0,10710.0
2012,March,Total,23559.0,5739.0,1207.0,162538.0,193043.0
2012,April,Inside built-up areas,15465.0,3713.0,1060.0,115332.0,135570.0
2012,April,Outside built-up areas (excl. motorways/freeways),5392.0,1392.0,144.0,32384.0,39312.0
2012,April,On motorways/freeways,1336.0,733.0,55.0,8963.0,11087.0
2012,April,Total,22193.0,5838.0,1259.0,156679.0,185969.0
2012,May,Inside built-up areas,21410.0,3743.0,1191.0,128259.0,154603.0
2012,May,Outside built-up areas (excl. motorways/freeways),7285.0,1504.0,158.0,36119.0,45066.0
2012,May,On motorways/freeways,1560.0,864.0,47.0,11499.0,13970.0
2012,May,Total,30255.0,6111.0,1396.0,175877.0,213639.0
2012,June,Inside built-up areas,20067.0,3803.0,1184.0,126141.0,151195.0
2012,June,Outside built-up areas (excl. motorways/freeways),6747.0,1504.0,188.0,30699.0,39138.0
2012,June,On motorways/freeways,1606.0,973.0,50.0,10290.0,12919.0
2012,June,Total,28420.0,6280.0,1422.0,167130.0,203252.0
2012,July,Inside built-up areas,19813.0,3804.0,1113.0,122414.0,147144.0
2012,July,Outside built-up areas (excl. motorways/freeways),7304.0,1703.0,159.0,32837.0,42003.0
2012,July,On motorways/freeways,1700.0,1060.0,45.0,10529.0,13334.0
2012,July,Total,28817.0,6567.0,1317.0,165780.0,202481.0
2012,August,Inside built-up areas,20568.0,3619.0,1198.0,118222.0,143607.0
2012,August,Outside built-up areas (excl. motorways/freeways),7343.0,1433.0,156.0,29886.0,38818.0
2012,August,On motorways/freeways,1627.0,831.0,63.0,10314.0,12835.0
2012,August,Total,29538.0,5883.0,1417.0,158422.0,195260.0
2012,September,Inside built-up areas,19762.0,3846.0,1204.0,119984.0,144796.0
2012,September,Outside built-up areas (excl. motorways/freeways),6943.0,1561.0,167.0,32135.0,40806.0
2012,September,On motorways/freeways,1567.0,880.0,56.0,9897.0,12400.0
2012,September,Total,28272.0,6287.0,1427.0,162016.0,198002.0
2012,October,Inside built-up areas,18420.0,4421.0,1126.0,131442.0,155409.0
2012,October,Outside built-up areas (excl. motorways/freeways),6597.0,1926.0,181.0,38269.0,46973.0
2012,October,On motorways/freeways,1645.0,1069.0,47.0,10985.0,13746.0
2012,October,Total,26662.0,7416.0,1354.0,180696.0,216128.0
2012,November,Inside built-up areas,16233.0,4354.0,1136.0,129262.0,150985.0
2012,November,Outside built-up areas (excl. motorways/freeways),5578.0,1893.0,173.0,38405.0,46049.0
2012,November,On motorways/freeways,1390.0,926.0,57.0,11035.0,13408.0
2012,November,Total,23201.0,7173.0,1366.0,178702.0,210442.0
2012,December,Inside built-up areas,12736.0,4765.0,1226.0,132993.0,151720.0
2012,December,Outside built-up areas (excl. motorways/freeways),5623.0,2657.0,201.0,37057.0,45538.0
2012,December,On motorways/freeways,1359.0,1570.0,66.0,10359.0,13354.0
2012,December,Total,19718.0,8992.0,1493.0,180409.0,210612.0
2013,January,Inside built-up areas,11296.0,4308.0,997.0,116083.0,132684.0
2013,January,Outside built-up areas (excl. motorways/freeways),5117.0,2226.0,170.0,37053.0,44566.0
2013,January,On motorways/freeways,1228.0,1366.0,52.0,9545.0,12191.0
2013,January,Total,17641.0,7900.0,1219.0,162681.0,189441.0
2013,February,Inside built-up areas,10194.0,4021.0,922.0,111354.0,126491.0
2013,February,Outside built-up areas (excl. motorways/freeways),4813.0,2392.0,162.0,32388.0,39755.0
2013,February,On motorways/freeways,1233.0,1365.0,45.0,9039.0,11682.0
2013,February,Total,16240.0,7778.0,1129.0,152781.0,177928.0
2013,March,Inside built-up areas,12220.0,4276.0,1021.0,127800.0,145317.0
2013,March,Outside built-up areas (excl. motorways/freeways),5320.0,2229.0,167.0,33099.0,40815.0
2013,March,On motorways/freeways,1529.0,1361.0,49.0,10181.0,13120.0
2013,March,Total,19069.0,7866.0,1237.0,171080.0,199252.0
2013,April,Inside built-up areas,15440.0,3506.0,1003.0,124019.0,143968.0
2013,April,Outside built-up areas (excl. motorways/freeways),5229.0,1307.0,142.0,30618.0,37296.0
2013,April,On motorways/freeways,1311.0,640.0,50.0,9184.0,11185.0
2013,April,Total,21980.0,5453.0,1195.0,163821.0,192449.0
2013,May,Inside built-up areas,17790.0,3877.0,1140.0,124726.0,147533.0
2013,May,Outside built-up areas (excl. motorways/freeways),5974.0,1503.0,160.0,35236.0,42873.0
2013,May,On motorways/freeways,1529.0,1004.0,61.0,10186.0,12780.0
2013,May,Total,25293.0,6384.0,1361.0,170148.0,203186.0
2013,June,Inside built-up areas,20777.0,3680.0,1075.0,127887.0,153419.0
2013,June,Outside built-up areas (excl. motorways/freeways),7146.0,1405.0,143.0,30773.0,39467.0
2013,June,On motorways/freeways,1705.0,934.0,50.0,9956.0,12645.0
2013,June,Total,29628.0,6019.0,1268.0,168616.0,205531.0
2013,July,Inside built-up areas,22886.0,3514.0,1114.0,129189.0,156703.0
2013,July,Outside built-up areas (excl. motorways/freeways),7835.0,1396.0,150.0,30268.0,39649.0
2013,July,On motorways/freeways,1790.0,741.0,58.0,10785.0,13374.0
2013,July,Total,32511.0,5651.0,1322.0,170242.0,209726.0
2013,August,Inside built-up areas,20036.0,3355.0,1179.0,117902.0,142472.0
2013,August,Outside built-up areas (excl. motorways/freeways),7449.0,1372.0,140.0,29979.0,38940.0
2013,August,On motorways/freeways,1752.0,826.0,39.0,10390.0,13007.0
2013,August,Total,29237.0,5553.0,1358.0,158271.0,194419.0
2013,September,Inside built-up areas,19185.0,3846.0,1176.0,127159.0,151366.0
2013,September,Outside built-up areas (excl. motorways/freeways),6759.0,1623.0,150.0,30612.0,39144.0
2013,September,On motorways/freeways,1666.0,966.0,61.0,10559.0,13252.0
2013,September,Total,27610.0,6435.0,1387.0,168330.0,203762.0
2013,October,Inside built-up areas,18222.0,4235.0,1151.0,136170.0,159778.0
2013,October,Outside built-up areas (excl. motorways/freeways),6271.0,1787.0,158.0,35199.0,43415.0
2013,October,On motorways/freeways,1737.0,968.0,47.0,11261.0,14013.0
2013,October,Total,26230.0,6990.0,1356.0,182630.0,217206.0
2013,November,Inside built-up areas,16788.0,4445.0,1148.0,136328.0,158709.0
2013,November,Outside built-up areas (excl. motorways/freeways),5566.0,1900.0,211.0,37009.0,44686.0
2013,November,On motorways/freeways,1535.0,931.0,57.0,10724.0,13247.0
2013,November,Total,23889.0,7276.0,1416.0,184061.0,216642.0
2013,December,Inside built-up areas,14816.0,4519.0,1051.0,130278.0,150664.0
2013,December,Outside built-up areas (excl. motorways/freeways),5524.0,2100.0,214.0,34290.0,42128.0
2013,December,On motorways/freeways,1437.0,900.0,51.0,9289.0,11677.0
2013,December,Total,21777.0,7519.0,1316.0,173857.0,204469.0
2014,January,Inside built-up areas,13379.0,4031.0,908.0,117663.0,135981.0
2014,January,Outside built-up areas (excl. motorways/freeways),4895.0,1900.0,145.0,30711.0,37651.0
2014,January,On motorways/freeways,1316.0,907.0,54.0,8767.0,11044.0
2014,January,Total,19590.0,6838.0,1107.0,157141.0,184676.0
2014,February,Inside built-up areas,12912.0,3380.0,872.0,112796.0,129960.0
2014,February,Outside built-up areas (excl. motorways/freeways),4589.0,1428.0,131.0,26377.0,32525.0
2014,February,On motorways/freeways,1240.0,600.0,56.0,8052.0,9948.0
2014,February,Total,18741.0,5408.0,1059.0,147225.0,172433.0
2014,March,Inside built-up areas,16852.0,3451.0,1030.0,129331.0,150664.0
2014,March,Outside built-up areas (excl. motorways/freeways),5579.0,1338.0,118.0,27803.0,34838.0
2014,March,On motorways/freeways,1488.0,613.0,47.0,9015.0,11163.0
2014,March,Total,23919.0,5402.0,1195.0,166149.0,196665.0
2014,April,Inside built-up areas,17364.0,3377.0,1012.0,125689.0,147442.0
2014,April,Outside built-up areas (excl. motorways/freeways),5896.0,1248.0,148.0,33148.0,40440.0
2014,April,On motorways/freeways,1562.0,737.0,41.0,9943.0,12283.0
2014,April,Total,24822.0,5362.0,1201.0,168780.0,200165.0
2014,May,Inside built-up areas,20025.0,3648.0,1092.0,134850.0,159615.0
2014,May,Outside built-up areas (excl. motorways/freeways),6926.0,1434.0,154.0,33085.0,41599.0
2014,May,On motorways/freeways,1627.0,944.0,42.0,10913.0,13526.0
2014,May,Total,28578.0,6026.0,1288.0,178848.0,214740.0
2014,June,Inside built-up areas,20379.0,3156.0,1058.0,123719.0,148312.0
2014,June,Outside built-up areas (excl. motorways/freeways),7120.0,1244.0,120.0,28573.0,37057.0
2014,June,On motorways/freeways,1586.0,673.0,47.0,10062.0,12368.0
2014,June,Total,29085.0,5073.0,1225.0,162354.0,197737.0
2014,July,Inside built-up areas,21098.0,3338.0,1106.0,132084.0,157626.0
2014,July,Outside built-up areas (excl. motorways/freeways),7573.0,1407.0,152.0,30357.0,39489.0
2014,July,On motorways/freeways,1892.0,1076.0,49.0,11724.0,14741.0
2014,July,Total,30563.0,5821.0,1307.0,174165.0,211856.0
2014,August,Inside built-up areas,17272.0,3114.0,1126.0,117030.0,138542.0
2014,August,Outside built-up areas (excl. motorways/freeways),6657.0,1359.0,165.0,29358.0,37539.0
2014,August,On motorways/freeways,1848.0,1016.0,61.0,10875.0,13800.0
2014,August,Total,25777.0,5489.0,1352.0,157263.0,189881.0
2014,September,Inside built-up areas,19200.0,3168.0,1040.0,126826.0,150234.0
2014,September,Outside built-up areas (excl. motorways/freeways),6677.0,1374.0,140.0,28150.0,36341.0
2014,September,On motorways/freeways,1603.0,927.0,44.0,10421.0,12995.0
2014,September,Total,27480.0,5469.0,1224.0,165397.0,199570.0
2014,October,Inside built-up areas,19160.0,3709.0,1113.0,135092.0,159074.0
2014,October,Outside built-up areas (excl. motorways/freeways),6778.0,1601.0,166.0,35077.0,43622.0
2014,October,On motorways/freeways,1727.0,897.0,49.0,11731.0,14404.0
2014,October,Total,27665.0,6207.0,1328.0,181900.0,217100.0
2014,November,Inside built-up areas,16762.0,3592.0,1084.0,132597.0,154035.0
2014,November,Outside built-up areas (excl. motorways/freeways),5550.0,1645.0,184.0,35535.0,42914.0
2014,November,On motorways/freeways,1480.0,657.0,56.0,10187.0,12380.0
2014,November,Total,23792.0,5894.0,1324.0,178319.0,209329.0
2014,December,Inside built-up areas,15215.0,4228.0,1069.0,137281.0,157793.0
2014,December,Outside built-up areas (excl. motorways/freeways),5676.0,2123.0,195.0,33604.0,41598.0
2014,December,On motorways/freeways,1532.0,1139.0,73.0,10398.0,13142.0
2014,December,Total,22423.0,7490.0,1337.0,181283.0,212533.0
2015,January,Inside built-up areas,13163.0,3650.0,901.0,125252.0,142966.0
2015,January,Outside built-up areas (excl. motorways/freeways),5273.0,1996.0,181.0,33721.0,41171.0
2015,January,On motorways/freeways,1456.0,1060.0,41.0,9730.0,12287.0
2015,January,Total,19892.0,6706.0,1123.0,168703.0,196424.0
2015,February,Inside built-up areas,11642.0,3227.0,809.0,114661.0,130339.0
2015,February,Outside built-up areas (excl. motorways/freeways),4463.0,1502.0,123.0,29251.0,35339.0
2015,February,On motorways/freeways,1250.0,746.0,54.0,8523.0,10573.0
2015,February,Total,17355.0,5475.0,986.0,152435.0,176251.0
2015,March,Inside built-up areas,14923.0,3272.0,880.0,133096.0,152171.0
2015,March,Outside built-up areas (excl. motorways/freeways),5258.0,1286.0,133.0,29325.0,36002.0
2015,March,On motorways/freeways,1489.0,695.0,48.0,9882.0,12114.0
2015,March,Total,21670.0,5253.0,1061.0,172303.0,200287.0
2015,April,Inside built-up areas,17444.0,3224.0,928.0,133888.0,155484.0
2015,April,Outside built-up areas (excl. motorways/freeways),5976.0,1306.0,140.0,33138.0,40560.0
2015,April,On motorways/freeways,1735.0,796.0,52.0,10583.0,13166.0
2015,April,Total,25155.0,5326.0,1120.0,177609.0,209210.0
2015,May,Inside built-up areas,18809.0,3276.0,1069.0,128203.0,151357.0
2015,May,Outside built-up areas (excl. motorways/freeways),6294.0,1214.0,147.0,35663.0,43318.0
2015,May,On motorways/freeways,1596.0,716.0,63.0,10781.0,13156.0
2015,May,Total,26699.0,5206.0,1279.0,174647.0,207831.0
2015,June,Inside built-up areas,21341.0,3095.0,993.0,134080.0,159509.0
2015,June,Outside built-up areas (excl. motorways/freeways),7366.0,1302.0,154.0,32146.0,40968.0
2015,June,On motorways/freeways,1707.0,807.0,57.0,10978.0,13549.0
2015,June,Total,30414.0,5204.0,1204.0,177204.0,214026.0
2015,July,Inside built-up areas,21841.0,3210.0,1090.0,136947.0,163088.0
2015,July,Outside built-up areas (excl. motorways/freeways),7951.0,1316.0,147.0,33056.0,42470.0
2015,July,On motorways/freeways,1929.0,816.0,67.0,11612.0,14424.0
2015,July,Total,31721.0,5342.0,1304.0,181615.0,219982.0
2015,August,Inside built-up areas,19436.0,3033.0,1170.0,125556.0,149195.0
2015,August,Outside built-up areas (excl. motorways/freeways),7650.0,1305.0,163.0,31243.0,40361.0
2015,August,On motorways/freeways,1892.0,832.0,73.0,11474.0,14271.0
2015,August,Total,28978.0,5170.0,1406.0,168273.0,203827.0
2015,September,Inside built-up areas,19173.0,3316.0,1032.0,135238.0,158759.0
2015,September,Outside built-up areas (excl. motorways/freeways),6800.0,1461.0,164.0,33507.0,41932.0
2015,September,On motorways/freeways,1857.0,884.0,57.0,11734.0,14532.0
2015,September,Total,27830.0,5661.0,1253.0,180479.0,215223.0
2015,October,Inside built-up areas,18079.0,3733.0,1079.0,142393.0,165284.0
2015,October,Outside built-up areas (excl. motorways/freeways),6583.0,1610.0,181.0,38132.0,46506.0
2015,October,On motorways/freeways,1850.0,849.0,59.0,12498.0,15256.0
2015,October,Total,26512.0,6192.0,1319.0,193023.0,227046.0
2015,November,Inside built-up areas,18230.0,3914.0,1072.0,143187.0,166403.0
2015,November,Outside built-up areas (excl. motorways/freeways),6339.0,1997.0,185.0,39033.0,47554.0
2015,November,On motorways/freeways,1780.0,1068.0,58.0,12235.0,15141.0
2015,November,Total,26349.0,6979.0,1315.0,194455.0,229098.0
2015,December,Inside built-up areas,15740.0,3759.0,1111.0,139754.0,160364.0
2015,December,Outside built-up areas (excl. motorways/freeways),5772.0,1784.0,196.0,36883.0,44635.0
2015,December,On motorways/freeways,1572.0,719.0,55.0,10281.0,12627.0
2015,December,Total,23084.0,6262.0,1362.0,186918.0,217626.0
2016,January,Inside built-up areas,12948.0,3867.0,978.0,124905.0,142698.0
2016,January,Outside built-up areas (excl. motorways/freeways),5368.0,2116.0,166.0,34205.0,41855.0
2016,January,On motorways/freeways,1553.0,1324.0,61.0,10621.0,13559.0
2016,January,Total,19869.0,7307.0,1205.0,169731.0,198112.0
2016,February,Inside built-up areas,12590.0,3260.0,854.0,121803.0,138507.0
2016,February,Outside built-up areas (excl. motorways/freeways),4597.0,1563.0,143.0,30239.0,36542.0
2016,February,On motorways/freeways,1412.0,855.0,56.0,9735.0,12058.0
2016,February,Total,18599.0,5678.0,1053.0,161777.0,187107.0
2016,March,Inside built-up areas,13410.0,3334.0,943.0,128372.0,146059.0
2016,March,Outside built-up areas (excl. motorways/freeways),5029.0,1505.0,133.0,30915.0,37582.0
2016,March,On motorways/freeways,1577.0,743.0,54.0,10278.0,12652.0
2016,March,Total,20016.0,5582.0,1130.0,169565.0,196293.0
2016,April,Inside built-up areas,17550.0,3463.0,1005.0,140439.0,162457.0
2016,April,Outside built-up areas (excl. motorways/freeways),5806.0,1357.0,145.0,37314.0,44622.0
2016,April,On motorways/freeways,1666.0,780.0,71.0,11676.0,14193.0
2016,April,Total,25022.0,5600.0,1221.0,189429.0,221272.0
2016,May,Inside built-up areas,19872.0,3292.0,1107.0,136331.0,160602.0
2016,May,Outside built-up areas (excl. motorways/freeways),7007.0,1334.0,156.0,36434.0,44931.0
2016,May,On motorways/freeways,1792.0,871.0,66.0,11942.0,14671.0
2016,May,Total,28671.0,5497.0,1329.0,184707.0,220204.0
2016,June,Inside built-up areas,21511.0,3366.0,1051.0,145003.0,170931.0
2016,June,Outside built-up areas (excl. motorways/freeways),6825.0,1398.0,140.0,31675.0,40038.0
2016,June,On motorways/freeways,2088.0,1158.0,72.0,12563.0,15881.0
2016,June,Total,30424.0,5922.0,1263.0,189241.0,226850.0
2016,July,Inside built-up areas,20599.0,3105.0,1115.0,135610.0,160429.0
2016,July,Outside built-up areas (excl. motorways/freeways),7513.0,1259.0,153.0,32418.0,41343.0
2016,July,On motorways/freeways,1883.0,866.0,63.0,12293.0,15105.0
2016,July,Total,29995.0,5230.0,1331.0,180321.0,216877.0
2016,August,Inside built-up areas,20621.0,3109.0,1190.0,130610.0,155530.0
2016,August,Outside built-up areas (excl. motorways/freeways),7801.0,1307.0,177.0,31770.0,41055.0
2016,August,On motorways/freeways,1856.0,784.0,61.0,12356.0,15057.0
2016,August,Total,30278.0,5200.0,1428.0,174736.0,211642.0
2016,September,Inside built-up areas,22389.0,3204.0,1158.0,139695.0,166446.0
2016,September,Outside built-up areas (excl. motorways/freeways),7466.0,1327.0,161.0,32893.0,41847.0
2016,September,On motorways/freeways,2000.0,773.0,64.0,12556.0,15393.0
2016,September,Total,31855.0,5304.0,1383.0,185144.0,223686.0
2016,October,Inside built-up areas,17698.0,3862.0,1174.0,139920.0,162654.0
2016,October,Outside built-up areas (excl. motorways/freeways),6563.0,1795.0,181.0,39120.0,47659.0
2016,October,On motorways/freeways,1897.0,900.0,71.0,12744.0,15612.0
2016,October,Total,26158.0,6557.0,1426.0,191784.0,225925.0
2016,November,Inside built-up areas,17292.0,4090.0,1083.0,152225.0,174690.0
2016,November,Outside built-up areas (excl. motorways/freeways),5810.0,1897.0,176.0,39972.0,47855.0
2016,November,On motorways/freeways,1774.0,899.0,79.0,13413.0,16165.0
2016,November,Total,24876.0,6886.0,1338.0,205610.0,238710.0
2016,December,Inside built-up areas,15206.0,4216.0,1115.0,141889.0,162426.0
2016,December,Outside built-up areas (excl. motorways/freeways),5481.0,1806.0,218.0,34997.0,42502.0
2016,December,On motorways/freeways,1695.0,853.0,78.0,11095.0,13721.0
2016,December,Total,22382.0,6875.0,1411.0,187981.0,218649.0
2017,January,Inside built-up areas,12421.0,4474.0,905.0,135463.0,153263.0
2017,January,Outside built-up areas (excl. motorways/freeways),5226.0,2341.0,166.0,36846.0,44579.0
2017,January,On motorways/freeways,1633.0,1331.0,36.0,10952.0,13952.0
2017,January,Total,19280.0,8146.0,1107.0,183261.0,211794.0
2017,February,Inside built-up areas,11619.0,3225.0,903.0,119205.0,134952.0
2017,February,Outside built-up areas (excl. motorways/freeways),4294.0,1380.0,119.0,28602.0,34395.0
2017,February,On motorways/freeways,1343.0,645.0,53.0,8784.0,10825.0
2017,February,Total,17256.0,5250.0,1075.0,156591.0,180172.0
2017,March,Inside built-up areas,16732.0,3564.0,959.0,146311.0,167566.0
2017,March,Outside built-up areas (excl. motorways/freeways),5539.0,1367.0,122.0,32654.0,39682.0
2017,March,On motorways/freeways,1660.0,717.0,66.0,11897.0,14340.0
2017,March,Total,23931.0,5648.0,1147.0,190862.0,221588.0
2017,April,Inside built-up areas,15213.0,3255.0,1053.0,129879.0,149400.0
2017,April,Outside built-up areas (excl. motorways/freeways),5502.0,1253.0,138.0,36260.0,43153.0
2017,April,On motorways/freeways,1584.0,751.0,55.0,11285.0,13675.0
2017,April,Total,22299.0,5259.0,1246.0,177424.0,206228.0
2017,May,Inside built-up areas,21232.0,3406.0,1168.0,149489.0,175295.0
2017,May,Outside built-up areas (excl. motorways/freeways),7096.0,1290.0,146.0,39435.0,47967.0
2017,May,On motorways/freeways,1818.0,961.0,78.0,13333.0,16190.0
2017,May,Total,30146.0,5657.0,1392.0,202257.0,239452.0
2017,June,Inside built-up areas,21758.0,3245.0,1081.0,141837.0,167921.0
2017,June,Outside built-up areas (excl. motorways/freeways),7373.0,1325.0,146.0,34508.0,43352.0
2017,June,On motorways/freeways,1867.0,939.0,65.0,12490.0,15361.0
2017,June,Total,30998.0,5509.0,1292.0,188835.0,226634.0
2017,July,Inside built-up areas,20212.0,3364.0,1155.0,137895.0,162626.0
2017,July,Outside built-up areas (excl. motorways/freeways),7450.0,1508.0,156.0,33947.0,43061.0
2017,July,On motorways/freeways,1984.0,1116.0,61.0,13130.0,16291.0
2017,July,Total,29646.0,5988.0,1372.0,184972.0,221978.0
2017,August,Inside built-up areas,19484.0,3098.0,1173.0,132409.0,156164.0
2017,August,Outside built-up areas (excl. motorways/freeways),7211.0,1352.0,169.0,32957.0,41689.0
2017,August,On motorways/freeways,1856.0,916.0,78.0,12603.0,15453.0
2017,August,Total,28551.0,5366.0,1420.0,177969.0,213306.0
2017,September,Inside built-up areas,18878.0,3451.0,1117.0,140795.0,164241.0
2017,September,Outside built-up areas (excl. motorways/freeways),6429.0,1510.0,159.0,35029.0,43127.0
2017,September,On motorways/freeways,1908.0,979.0,78.0,12687.0,15652.0
2017,September,Total,27215.0,5940.0,1354.0,188511.0,223020.0
2017,October,Inside built-up areas,18557.0,3858.0,1120.0,143719.0,167254.0
2017,October,Outside built-up areas (excl. motorways/freeways),6658.0,1669.0,199.0,40165.0,48691.0
2017,October,On motorways/freeways,1851.0,954.0,56.0,13035.0,15896.0
2017,October,Total,27066.0,6481.0,1375.0,196919.0,231841.0
2017,November,Inside built-up areas,17149.0,4058.0,1100.0,148891.0,171198.0
2017,November,Outside built-up areas (excl. motorways/freeways),5812.0,1912.0,200.0,43304.0,51228.0
2017,November,On motorways/freeways,1744.0,1067.0,63.0,12866.0,15740.0
2017,November,Total,24705.0,7037.0,1363.0,205061.0,238166.0
2017,December,Inside built-up areas,14307.0,4377.0,1167.0,144807.0,164658.0
